TESTCASE ID,Tên Test Case,Các bước thực hiện,Kết quả mong đợi,Độ ưu tiên,Kết quả thực tế,Trạng thái,Note,Dev
TC-KH05-003,Hiển thị đúng số sao đánh giá Tasker,1. Quan sát số sao đánh giá của từng Tasker,Điểm đánh giá hiển thị đúng dữ liệu hệ thống,Medium,,Not run,,
TC-KH05-004,Chuyển sang danh sách đầy đủ khi nhấn “Xem tất cả”,1. Nhấn nút “Xem tất cả”,Hệ thống chuyển sang màn hình danh sách đầy đủ Tasker,High,,PASS,,
TC-KH05-005,Hiển thị khi không có Tasker khả dụng,"1. Kiểm tra tại khu vực không có Tasker 
2. Mở Trang chủ",Hệ thống hiển thị thông báo không có Tasker khả dụng,High,,Not run,,
TC-KH05-006,Kiểm tra scroll danh sách Tasker,1. Cuộn danh sách Tasker gần bạn,Danh sách scroll mượt và không bị lỗi UI,Low,,Not run,,
TC-KH05-007,Kiểm tra tải avatar Tasker,"1. Mở danh sách Tasker 
2. Quan sát hình ảnh avatar",Avatar hiển thị đúng và không bị lỗi ảnh,Medium,,Not run,,
TC-KH05-008,Kiểm tra lại avatar Tasker khi tasker thay đổi avatar ,"1. Mở danh sách Tasker 
2. Quan sát hình ảnh avatar",avatar mới hiển thị đầy đủ ,Medium,,Not run,,
TC-KH05-009,Kiểm tra dữ liệu Tasker khi mất mạng,"1. Tắt internet 
2. Mở phần Tasker gần bạn",Hệ thống hiển thị lỗi tải dữ liệu,Medium,,Not run,,
UC-KH-06 — Xem gói gia đình 30 ngày,,,,,,,,
TC-KH06-001,Hiển thị banner gói gia đình,"1. Mở Trang chủ 
2. Quan sát banner gói gia đình",Banner “Gói gia đình 30 ngày” hiển thị đúng,High,,PASS,,
TC-KH06-002,Hiển thị nhãn “GÓI GIA ĐÌNH”,1. Quan sát banner gói gia đình,Nhãn “GÓI GIA ĐÌNH” hiển thị đúng thiết kế,Medium,,PASS,,
TC-KH06-003,Xem chi tiết gói khi nhấn “Tìm hiểu”,1. Nhấn nút “Tìm hiểu” trên banner,Hệ thống chuyển sang màn hình chi tiết gói gia đình,High,,PASS,,
TC-KH06-004,Kiểm tra nội dung chi tiết gói gia đình,"1. Mở màn hình chi tiết gói 
2. Kiểm tra thông tin hiển thị",Hiển thị đầy đủ thông tin gói gia đình 30 ngày,High,,PASS,,
TC-KH06-005,Điều hướng sang gói  gia đình từ trang Cá nhân,"1. Vào tab “Cá nhân” 
2. Nhấn “Gói gia đình”",Hệ thống mở đúng màn hình thông tin gói gia đình,Medium,,,,
TC-KH06-006,Kiểm tra hiển thị banner khi mất mạng,"1. Tắt internet 
2. Mở Trang chủ",Banner vẫn hiển thị hoặc hiển thị lỗi tải dữ liệu phù hợp,Low,,,,
TC-KH06-007,Kiểm tra giao diện banner gói gia đình,"1. Mở Trang chủ 
2. Quan sát banner","Banner hiển thị đúng màu sắc, hình ảnh và bố cục thiết kế",Low,,,,
UC-KH-07 — Đặt dịch vụ dọn nhà,,,,,,,,
TC-KH07-001,Đặt dịch vụ dọn nhà cơ bản thành công,"1. Đăng nhập hệ thống 
2. Từ Trang chủ nhấn “Dọn nhà” 
3. Chọn loại “Cơ bản” 
4. Chọn ngày và giờ hợp lệ 
5. Chọn số giờ 2h 
6. Nhập ghi chú 
7. Nhấn “Đặt & thanh toán”",Đơn dọn nhà được tạo thành công và hệ thống bắt đầu tìm Tasker,High,,,,
TC-KH07-002,Đặt dịch vụ dọn nhà cao cấp thành công,"1. Mở màn hình đặt dịch vụ dọn nhà 
2. Chọn loại “Cao cấp” 
3. Nhập đầy đủ thông tin hợp lệ 
4. Nhấn “Đặt & thanh toán”",Đơn được tạo thành công với loại dịch vụ Cao cấp,High,,,,
TC-KH07-003,Kiểm tra hiển thị loại dịch vụ,"1. Mở màn hình M05 
2. Quan sát danh sách loại dịch vụ",Hiển thị đầy đủ lựa chọn “Cơ bản” và “Cao cấp”,Medium,,,,
TC-KH07-004,Kiểm tra chọn ngày thực hiện hợp lệ,"1. Chọn ngày hiện tại hoặc ngày tương lai 
2. Tiếp tục đặt đơn",Hệ thống cho phép chọn ngày hợp lệ,High,,,,
TC-KH07-005,Kiểm tra không cho chọn ngày quá khứ,1. Chọn ngày nhỏ hơn ngày hiện tại,Hệ thống không cho phép chọn ngày quá khứ,High,,,,
TC-KH07-006,Kiểm tra chọn giờ thực hiện hợp lệ,1. Chọn giờ nằm trong khung thời gian hỗ trợ,Hệ thống lưu đúng giờ thực hiện,High,,,,
TC-KH07-007,Kiểm tra hiển thị các mốc số giờ,1. Mở dropdown/chọn số giờ,"Hiển thị đủ các lựa chọn 2h, 3h, 4h, 5h",Medium,,,,
TC-KH07-008,Kiểm tra nhập ghi chú cho Tasker,1. Nhập nội dung ghi chú yêu cầu dọn nhà 2. Đặt dịch vụ,Ghi chú được lưu cùng đơn hàng,Medium,,,,
TC-KH07-009,Kiểm tra để trống ghi chú,"1. Không nhập ghi chú 
2. Thực hiện đặt đơn",Hệ thống vẫn cho phép đặt đơn thành công,Medium,,,,
TC-KH07-010,Kiểm tra tính tổng tiền tự động,"1. Chọn loại dịch vụ và số giờ khác nhau 
2. Quan sát tổng tiền",Tổng tiền được cập nhật đúng theo lựa chọn,High,,,,
TC-KH07-011,Kiểm tra khấu trừ ví sau khi đặt đơn,"1. Ghi nhận số dư ví trước khi đặt 
2. Đặt dịch vụ thành công",Số dư ví bị trừ đúng số tiền dịch vụ,High,,,,
TC-KH07-012,Kiểm tra đặt đơn khi ví không đủ số dư,"1. Sử dụng tài khoản có số dư không đủ 
2. Thực hiện đặt đơn",Hệ thống hiển thị yêu cầu nạp tiền và chuyển đến M14,High,,,,
TC-KH07-013,Kiểm tra validate khi chưa chọn loại dịch vụ,"1. Không chọn loại dịch vụ 
2. Nhấn “Đặt & thanh toán”",Hệ thống hiển thị thông báo yêu cầu chọn loại dịch vụ,High,,,,
TC-KH07-014,Kiểm tra validate khi chưa chọn ngày giờ,"1. Không chọn ngày hoặc giờ 
2. Nhấn “Đặt & thanh toán”",Hệ thống hiển thị validate yêu cầu chọn ngày giờ,High,,,,
TC-KH07-015,Kiểm tra validate khi chưa chọn số giờ,"1. Không chọn số giờ 
2. Nhấn “Đặt & thanh toán”",Hệ thống hiển thị thông báo yêu cầu chọn số giờ,High,,,,
TC-KH07-016,Kiểm tra đặt đơn khi mất kết nối mạng,"1. Tắt internet 
2. Thực hiện đặt dịch vụ",Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH07-017,Kiểm tra nhấn nhiều lần nút đặt đơn,"1. Nhập đầy đủ thông tin 
2. Nhấn liên tục “Đặt & thanh toán”",Hệ thống chỉ tạo một đơn duy nhất,Medium,,,,
TC-KH07-018,Kiểm tra giao diện màn hình đặt dịch vụ,"1. Mở màn hình M05 
2. Quan sát layout, button, textbox",Giao diện hiển thị đúng thiết kế UI/UX,Low,,,,
UC-KH-08 — Đặt dịch vụ trông trẻ,,,,,,,,
TC-KH08-000,Đặt dịch vụ trông trẻ thành công,"1. Vào Trang chủ M04
2. Nhấn dịch vụ “Trông trẻ”
3. Chọn số trẻ là “2”
4. Nhập độ tuổi trẻ
5. Chọn ngày bắt đầu
6. Chọn khoảng giờ từ 18:00 đến 21:00
7. Nhập yêu cầu đặc biệt
8. Kiểm tra tổng tiền hiển thị
9. Nhấn “Tìm Tasker”","- Hệ thống tính đúng tổng tiền = 3 giờ × 100.000 VNĐ
- Ví khách hàng bị khấu trừ đúng số tiền
- Đơn trông trẻ được tạo thành công
- Hiển thị trạng thái “Đang tìm Tasker”
- Khách hàng nhận thông báo đặt dịch vụ thành công",High,,,,
TC-KH08-001,Kiểm tra hiển thị lựa chọn số trẻ,"1. Mở màn hình M06 
2. Quan sát lựa chọn số trẻ",Hiển thị đủ các lựa chọn 1 / 2 / 3+,Medium,,,,
TC-KH08-002,Kiểm tra nhập độ tuổi trẻ hợp lệ,"1. Nhập độ tuổi hợp lệ của trẻ 
2. Tiếp tục đặt đơn",Hệ thống lưu đúng độ tuổi trẻ,High,,,,
TC-KH08-003,Kiểm tra validate khi để trống độ tuổi,"1. Không nhập độ tuổi trẻ 
2. Nhấn “Tìm Tasker”",Hệ thống hiển thị validate bắt buộc nhập độ tuổi,High,,,,
TC-KH08-004,Kiểm tra chọn khoảng giờ hợp lệ,1. Chọn giờ bắt đầu và giờ kết thúc hợp lệ,Hệ thống lưu đúng khoảng thời gian,High,,,,
TC-KH08-005,Kiểm tra giờ kết thúc nhỏ hơn giờ bắt đầu,"1. Chọn giờ kết thúc nhỏ hơn giờ bắt đầu 
2. Nhấn “Tìm Tasker”",Hệ thống hiển thị lỗi thời gian không hợp lệ,High,,,,
TC-KH08-006,Kiểm tra nhập yêu cầu đặc biệt,"1. Nhập lịch ăn/ngủ hoặc yêu cầu riêng 
2. Đặt đơn",Yêu cầu đặc biệt được lưu trong đơn,Medium,,,,
TC-KH08-007,Kiểm tra tính tổng tiền theo số giờ,"1. Chọn khoảng thời gian khác nhau 
2. Quan sát tổng tiền",Tổng tiền được tính đúng theo công thức số giờ × 100k,High,,,,
TC-KH08-008,Kiểm tra đặt đơn khi ví không đủ tiền,"1. Dùng tài khoản ví không đủ số dư 
2. Đặt dịch vụ",Hệ thống yêu cầu nạp tiền,High,,,,
TC-KH08-009,Kiểm tra khấu trừ ví sau khi đặt đơn,"1. Đặt đơn thành công 
2. Kiểm tra số dư ví",Số dư ví giảm đúng số tiền thanh toán,High,,,,
TC-KH08-010,Kiểm tra đặt đơn khi mất mạng,"1. Tắt internet 
2. Đặt dịch vụ",Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH08-011,Kiểm tra giao diện màn hình trông trẻ,"1. Mở màn hình M06 
2. Quan sát layout giao diện",Giao diện hiển thị đúng thiết kế,Low,,,,
UC-KH-09 — Đặt dịch vụ mua hộ WinMart,,,,,,,,
TC-KH09-001,Đặt dịch vụ mua hộ thành công,"1. Đăng nhập hệ thống 
2. Chọn dịch vụ “Mua hộ” 
3. Chọn cửa hàng WinMart 
4. Nhập danh sách sản phẩm 
5. Chọn địa chỉ giao 
6. Nhấn “Đặt mua hộ”",Đơn mua hộ được tạo thành công,High,,,,
TC-KH09-002,Kiểm tra chọn cửa hàng WinMart,"1. Mở màn hình M07 
2. Chọn cửa hàng",Hệ thống lưu đúng cửa hàng được chọn,High,,,,
TC-KH09-003,Kiểm tra thêm sản phẩm vào danh sách mua,"1. Nhập tên sản phẩm và số lượng 
2. Nhấn “+ Thêm sản phẩm”",Sản phẩm được thêm vào danh sách,High,,,,
TC-KH09-004,Kiểm tra thêm nhiều sản phẩm,1. Thêm nhiều sản phẩm liên tiếp,Hệ thống lưu đầy đủ các sản phẩm,Medium,,,,
TC-KH09-005,Kiểm tra validate khi chưa nhập sản phẩm,"1. Không nhập sản phẩm 
2. Nhấn “Đặt mua hộ”",Hệ thống hiển thị lỗi yêu cầu nhập sản phẩm,High,,,,
TC-KH09-006,Kiểm tra nhập ngân sách dự kiến,1. Nhập ngân sách dự kiến hợp lệ,Hệ thống lưu đúng ngân sách,Medium,,,,
TC-KH09-007,Kiểm tra hiển thị phí dịch vụ cố định,1. Mở màn hình đặt mua hộ,Hiển thị phí dịch vụ cố định 50.000đ,High,,,,
TC-KH09-008,Kiểm tra đặt đơn khi ví không đủ số dư,"1. Dùng tài khoản ví không đủ tiền 
2. Đặt đơn",Hệ thống yêu cầu nạp tiền,High,,,,
TC-KH09-009,Kiểm tra khấu trừ ví sau khi đặt đơn,"1. Đặt đơn thành công 
2. Kiểm tra số dư ví",Ví bị trừ đúng số tiền thanh toán,High,,,,
TC-KH09-010,Kiểm tra đặt mua hộ khi mất mạng,"1. Tắt internet 
2. Thực hiện đặt mua hộ",Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
UC-KH-10 — Theo dõi tiến trình đơn,,,,,,,,
TC-KH10-001,Xem chi tiết tiến trình đơn thành công,"1. Vào tab Hoạt động 
2. Nhấn “Theo dõi” trên đơn đang thực hiện",Hệ thống mở màn hình tracking.php,High,,,,
TC-KH10-002,Hiển thị trạng thái hiện tại của đơn,1. Mở màn hình theo dõi đơn,Hiển thị đúng trạng thái hiện tại của đơn hàng,High,,,,
TC-KH10-003,Hiển thị đủ 5 bước tiến trình đơn,"1. Mở màn hình tracking 
2. Quan sát tiến trình",Hiển thị đủ 5 bước theo đúng flow hệ thống,High,,,,
TC-KH10-004,Hiển thị thời gian tại từng bước,1. Quan sát timeline tiến trình đơn,Mỗi bước hiển thị đúng timestamp,Medium,,,,
TC-KH10-005,Hiển thị thông tin Tasker,1. Mở màn hình tracking,"Hiển thị tên, sao đánh giá và số việc của Tasker",High,,,,
TC-KH10-006,Kiểm tra nút Chat với Tasker,1. Nhấn nút Chat trên tracking,Hệ thống chuyển sang màn hình chat M10,High,,,,
TC-KH10-007,Kiểm tra nút Gọi Tasker,1. Nhấn icon gọi điện trên tracking,Hệ thống thực hiện gọi điện cho Tasker,High,,,,
TC-KH10-008,Kiểm tra hiển thị nút Hủy đơn trước khi Tasker bắt đầu,1. Mở đơn ở trạng thái chưa bắt đầu,Nút “Hủy đơn” vẫn hiển thị,Medium,,,,
TC-KH10-009,Kiểm tra ẩn nút Hủy khi đơn đang thực hiện,1. Mở đơn ở trạng thái “Đang thực hiện”,Nút “Hủy đơn” bị ẩn hoặc disable,Medium,,,,
TC-KH10-010,Kiểm tra cập nhật trạng thái theo thời gian thực,1. Theo dõi đơn trong quá trình xử lý,Trạng thái đơn tự động cập nhật realtime,High,,,,
UC-KH-11+12  CHAT VÀ GỌI TASKER,,,,,,,,
TC-KH11-001,Mở màn hình chat thành công từ tracking,"1. Vào màn hình theo dõi đơn M08 
2. Nhấn nút “Chat”",Hệ thống mở màn hình chat M10 thành công,High,,,,
TC-KH11-002,Mở màn hình chat từ danh sách hoạt động,"1. Vào màn hình Hoạt động M09 
2. Chọn đơn đang thực hiện 3. Nhấn “Chat”",Hệ thống mở đúng cửa sổ chat với Tasker,High,,,,
TC-KH11-003,Hiển thị lịch sử tin nhắn,"1. Mở màn hình chat 
2. Quan sát khu vực hội thoại",Hiển thị đầy đủ lịch sử tin nhắn trước đó,High,,,,
TC-KH11-004,Gửi tin nhắn văn bản thành công,"1. Nhập nội dung tin nhắn 
2. Nhấn icon gửi",Tin nhắn được gửi thành công và hiển thị trên màn hình chat,High,,,,
TC-KH11-005,Nhận phản hồi từ Tasker,"1. Gửi tin nhắn đến Tasker 
2. Chờ phản hồi",Tin nhắn phản hồi từ Tasker hiển thị realtime,High,,,,
TC-KH11-006,Kiểm tra gửi nhiều tin nhắn liên tiếp,1. Nhập và gửi nhiều tin nhắn liên tục,Tất cả tin nhắn được gửi đúng thứ tự,Medium,,,,
TC-KH11-007,Kiểm tra gửi tin nhắn rỗng,"1. Không nhập nội dung 
2. Nhấn nút gửi",Hệ thống không cho gửi tin nhắn rỗng,High,,,,
TC-KH11-008,Kiểm tra giới hạn ký tự tin nhắn,"1. Nhập nội dung vượt giới hạn ký tự 
2. Nhấn gửi",Hệ thống hiển thị validate hoặc giới hạn số ký tự,Medium,,,,
TC-KH11-009,Gửi ảnh đính kèm thành công,"1. Nhấn icon đính kèm 
2. Chọn ảnh từ thiết bị 
3. Gửi ảnh",Ảnh được gửi thành công trong cuộc trò chuyện,High,,,,
TC-KH11-010,Gửi file đính kèm thành công,"1. Nhấn icon đính kèm 
2. Chọn file hợp lệ 
3. Gửi file",File được gửi thành công,Medium,,,,
TC-KH11-011,Kiểm tra upload file không hợp lệ,"1. Chọn file không đúng định dạng hỗ trợ 
2. Gửi file",Hệ thống hiển thị lỗi file không hợp lệ,Medium,,,,
TC-KH11-012,Kiểm tra trạng thái online của Tasker,1. Mở màn hình chat khi Tasker online,Hiển thị trạng thái online của Tasker,Medium,,,,
TC-KH11-013,Kiểm tra trạng thái offline của Tasker,1. Mở màn hình chat khi Tasker offline,Hiển thị trạng thái offline hoặc last seen,Medium,,,,
TC-KH11-014,Kiểm tra tự động scroll xuống tin nhắn mới,1. Nhận tin nhắn mới từ Tasker,Màn hình chat tự động scroll xuống cuối,Low,,,,
TC-KH11-015,Kiểm tra gọi điện từ màn hình chat,1. Nhấn icon điện thoại trong chat,Hệ thống chuyển sang chức năng gọi điện UC-KH-12,High,,,,
TC-KH11-016,Kiểm tra gửi tin nhắn khi mất mạng,"1. Tắt internet 
2. Gửi tin nhắn",Hệ thống hiển thị lỗi gửi tin nhắn thất bại,High,,,,
TC-KH11-017,Kiểm tra hiển thị thời gian gửi tin nhắn,"1. Gửi và nhận tin nhắn 
2. Quan sát timestamp",Mỗi tin nhắn hiển thị đúng thời gian gửi,Low,,,,
TC-KH12-018,Kiểm tra giao diện màn hình chat,"1. Mở màn hình M10 
2. Quan sát UI chat",Giao diện hiển thị đúng thiết kế UI/UX,Low,,,,
TC-KH12-019,Gọi điện từ màn hình tracking thành công,"1. Mở màn hình tracking M08 
2. Nhấn icon điện thoại",Hệ thống kết nối cuộc gọi đến Tasker,High,,,,
TC-KH12-020,Gọi điện từ màn hình chat thành công,"1. Mở màn hình chat M10 
2. Nhấn icon điện thoại",Cuộc gọi được thực hiện thành công,High,,,,
TC-KH12-021,Kiểm tra hiển thị popup quyền gọi điện,1. Nhấn gọi điện lần đầu tiên,Hệ thống yêu cầu cấp quyền gọi điện,Medium,,,,
TC-KH12-022,Kiểm tra từ chối quyền gọi điện,1. Từ chối quyền gọi điện khi hệ thống yêu cầu,Hệ thống hiển thị thông báo không thể thực hiện cuộc gọi,Medium,,,,
TC-KH12-023,Kiểm tra Tasker không nghe máy,1. Thực hiện gọi điện khi Tasker không bắt máy,Hệ thống hiển thị thông báo không liên lạc được,Medium,,,,
TC-KH12-024,Kiểm tra số điện thoại Tasker không hợp lệ,1. Thực hiện gọi đến số không hợp lệ,Hệ thống hiển thị lỗi cuộc gọi thất bại,Medium,,,,
TC-KH12-025,Kiểm tra gọi điện khi mất sóng/mất mạng,"1. Tắt sóng điện thoại hoặc internet 
2. Thực hiện gọi",Hệ thống hiển thị lỗi kết nối cuộc gọi,Medium,,,,
TC-KH12-026,Kiểm tra quay lại app sau khi kết thúc cuộc gọi,"1. Gọi điện cho Tasker 
2. Kết thúc cuộc gọi",Ứng dụng quay lại đúng màn hình trước đó,Low,,,,
UC-KH-13  Hủy đơn,,,,,,,,
TC-KH13-001,Hủy đơn thành công từ màn hình tracking,"1. Mở tracking của đơn chưa bắt đầu 
2. Nhấn “Hủy đơn” 
3. Xác nhận hủy",Đơn chuyển sang trạng thái “Đã hủy”,High,,,,
TC-KH13-002,Hủy đơn thành công từ màn hình hoạt động,"1. Vào M09 
2. Chọn đơn sắp tới 
3. Nhấn “Hủy” 
4. Xác nhận",Đơn được hủy thành công,High,,,,
TC-KH13-003,Kiểm tra popup xác nhận hủy đơn,1. Nhấn “Hủy đơn”,Hệ thống hiển thị popup xác nhận hủy,High,,,,
TC-KH13-004,Kiểm tra từ chối xác nhận hủy đơn,"1. Nhấn “Hủy đơn” 
2. Chọn “Không” hoặc “Đóng”",Đơn vẫn giữ nguyên trạng thái ban đầu,Medium,,,,
TC-KH13-005,Kiểm tra hoàn tiền vào ví sau khi hủy,"1. Hủy đơn thành công 
2. Kiểm tra số dư ví",Tiền được hoàn về ví theo chính sách,High,,,,
TC-KH13-006,Kiểm tra trạng thái đơn sau khi hủy,"1. Hủy đơn thành công 
2. Mở lại chi tiết đơn",Đơn hiển thị trạng thái “Đã hủy”,High,,,,
TC-KH13-007,Kiểm tra không cho hủy khi đơn đang thực hiện,"1. Mở đơn ở trạng thái “Đang thực hiện” 
2. Nhấn “Hủy đơn”",Hệ thống không cho phép hủy hoặc hiển thị chính sách phí hủy,High,,,,
TC-KH13-008,Kiểm tra áp dụng phí hủy đơn,"1. Hủy đơn trong thời gian áp dụng phí 
2. Kiểm tra ví",Hệ thống trừ phí hủy đúng theo chính sách,Medium,,,,
TC-KH13-009,Kiểm tra hủy đơn khi mất mạng,1. Tắt internet 2. Thực hiện hủy đơn,Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH13-010,Kiểm tra nhấn nhiều lần nút hủy,1. Nhấn liên tục nút “Xác nhận hủy”,Hệ thống chỉ xử lý một lần hủy đơn,Medium,,,,
UC-KH-14 — Xem lịch sử hoạt động,,,,,,,,
TC-KH14-001,Mở màn hình hoạt động thành công,1. Nhấn tab “Hoạt động” trên thanh điều hướng,Hệ thống mở màn hình activity.php,High,,,,
TC-KH14-002,Hiển thị tab “Đang & sắp tới” mặc định,1. Mở màn hình hoạt động,Tab “Đang & sắp tới” được chọn mặc định,High,,,,
TC-KH14-003,Chuyển sang tab “Đã hoàn tất”,1. Nhấn tab “Đã hoàn tất”,Hệ thống hiển thị danh sách đơn đã hoàn tất,High,,,,
TC-KH14-004,Chuyển sang tab “Đã hủy”,1. Nhấn tab “Đã hủy”,Hệ thống hiển thị danh sách đơn đã hủy,High,,,,
TC-KH14-005,Hiển thị thông tin đơn hàng đầy đủ,1. Quan sát danh sách đơn,"Hiển thị loại dịch vụ, mã đơn, Tasker, thời gian và trạng thái",High,,,,
TC-KH14-006,Xem chi tiết đơn từ lịch sử hoạt động,1. Nhấn vào một đơn bất kỳ,Hệ thống mở màn hình chi tiết đơn,High,,,,
TC-KH14-007,Theo dõi đơn từ tab đang thực hiện,1. Chọn đơn đang thực hiện 2. Nhấn “Theo dõi”,Hệ thống chuyển sang màn hình tracking,High,,,,
TC-KH14-008,Chat với Tasker từ lịch sử hoạt động,1. Chọn đơn đang thực hiện 2. Nhấn “Chat”,Hệ thống mở màn hình chat với Tasker,High,,,,
TC-KH14-009,Kiểm tra trạng thái rỗng khi chưa có đơn,"1. Đăng nhập bằng tài khoản chưa từng đặt đơn 
2. Vào Hoạt động",Hệ thống hiển thị trạng thái rỗng phù hợp,Medium,,,,
TC-KH14-010,Kiểm tra scroll danh sách hoạt động,"1. Có nhiều đơn hàng trong hệ thống 
2. Cuộn danh sách",Danh sách scroll mượt và không lỗi UI,Low,,,,
TC-KH14-011,Kiểm tra load dữ liệu khi mất mạng,"1. Tắt internet 
2. Mở màn hình hoạt động",Hệ thống hiển thị lỗi tải dữ liệu,Medium,,,,
UC-KH-15 — Xem thông báo,,,,,,,,
TC-KH15-001,Mở màn hình thông báo thành công,1. Nhấn tab “Thông báo”,Hệ thống mở màn hình notifications.php,High,,,,
TC-KH15-002,Hiển thị danh sách thông báo,1. Mở màn hình thông báo,Hiển thị đầy đủ danh sách thông báo,High,,,,
